R,G,B
165.05859375,182.59375,181.69140625
160.02734375,175.3984375,172.6640625
107.29296875,150.15234375,112.6796875
95.421875,141.90625,120.0390625
116.74609375,164.2578125,139.04296875
98.1328125,114.60546875,99.93359375
66.86328125,91.8515625,73.671875
69.828125,92.421875,75.16015625
90.81640625,126.5625,106.59375
103.296875,122.41796875,103.1640625
125.796875,153.08203125,119.5
86.88671875,129.1171875,107.3984375
99.265625,130.85546875,117.4296875
94.29296875,100.41796875,84.2109375
149.64453125,162.12890625,121.2265625
111.390625,164.45703125,140.1328125
120.42578125,175.42578125,149.03125
111.390625,164.45703125,140.1328125
111.390625,164.45703125,140.1328125
167.7734375,166.5078125,121.2421875
64.24609375,79.80078125,96.26171875
63.6953125,91.2578125,116.97265625
68.41796875,82.734375,98.8515625
157.0078125,176.8046875,174.28515625
157.22265625,177.0,174.44921875
114.796875,167.3515625,140.578125
98.56640625,138.62109375,107.0390625
130.83984375,160.3828125,150.25390625
137.75,165.0234375,156.87109375
165.3046875,182.6171875,182.00390625
112.4296875,159.60546875,138.7265625
102.046875,143.45703125,108.6171875
104.828125,155.66796875,132.234375
165.77734375,183.09375,182.39453125
81.88671875,110.26171875,80.30078125
87.85546875,129.6953125,108.05078125
103.96875,145.921875,110.3125
107.25390625,136.890625,115.10546875
74.234375,98.625,78.9453125
73.33984375,99.70703125,82.98828125
83.015625,111.6640625,81.26953125
92.19140625,111.6796875,94.33984375
105.171875,156.12890625,132.6640625
163.64453125,165.96484375,121.515625
86.80859375,119.88671875,102.85546875
62.1015625,73.9296875,62.55078125
62.1015625,73.9296875,62.55078125
84.5,116.1953125,100.23046875
90.41015625,101.26171875,83.3203125
128.08203125,140.34765625,146.14453125
138.05859375,165.421875,157.21875
104.3828125,140.6953125,111.33984375
110.98046875,128.37890625,109.54296875
110.046875,101.6484375,80.109375
131.1484375,160.78125,150.6015625
157.22265625,177.0,174.44921875
165.3046875,182.6171875,182.00390625
112.61328125,159.859375,138.9609375
108.0703125,136.953125,117.6171875
112.37890625,157.55859375,134.140625
158.92578125,178.140625,176.06640625
105.32421875,156.4140625,132.9765625
105.69140625,156.7890625,133.2265625
114.5390625,161.01953125,136.48046875
164.6328125,166.73828125,162.41015625
93.48046875,137.6171875,112.296875
106.28515625,149.2265625,112.8828125
88.94140625,104.8671875,86.15625
115.0234375,162.76171875,138.1796875
99.1796875,141.421875,122.0390625
124.0546875,89.80859375,81.58984375
85.62890625,117.4375,87.96484375
99.38671875,133.42578125,92.265625
88.81640625,131.49609375,109.734375
122.58984375,89.19921875,80.9921875
70.875,99.5390625,80.76171875
57.28125,70.69140625,56.05078125
87.7890625,131.05859375,109.34375
114.296875,126.31640625,126.21484375
108.58203125,117.63671875,130.96875
61.12109375,85.125,108.89453125
91.6875,123.39453125,105.86328125
117.24609375,139.08203125,137.6953125
134.453125,144.66796875,151.9921875
129.8359375,143.203125,151.46875
116.37890625,162.875,137.83984375
113.1484375,163.35546875,139.00390625
108.07421875,128.26953125,107.56640625
70.96484375,96.48046875,121.35546875
110.90625,155.96484375,132.33203125
93.546875,105.171875,86.5859375
91.0859375,132.15625,110.9140625
102.80078125,114.53125,95.87109375
90.96875,129.5078125,108.44921875
106.62890625,126.54296875,106.19140625
113.63671875,163.9140625,139.42578125
65.75,108.0,142.75
91.0546875,130.1875,109.0
94.73046875,142.2265625,120.2421875
114.83203125,161.39453125,137.27734375
105.43359375,129.0625,108.33984375
103.71875,154.21484375,130.96875
132.546875,161.6640625,152.17578125
103.72265625,154.1796875,130.8984375
130.3125,134.40625,105.109375
62.14453125,86.96875,111.32421875
76.66015625,96.64453125,97.8515625
96.22265625,133.72265625,119.31640625
127.765625,130.98046875,103.28515625
67.3125,111.0,146.5625
77.06640625,101.91796875,108.06640625
117.0078125,128.20703125,103.265625
149.64453125,162.12890625,121.2265625
83.90625,92.578125,75.5546875
82.796875,103.23046875,90.9375
82.671875,99.5234375,87.86328125
95.6484375,132.6875,112.6953125
107.74609375,107.69140625,97.74609375
149.64453125,162.12890625,121.2265625
167.7734375,166.5078125,121.2421875
153.92578125,167.26953125,164.90625
91.4765625,103.50390625,85.9765625
154.41357421875,173.87451171875,171.36767578125
153.96533203125,173.3359375,170.841796875
91.7109375,103.80859375,86.2421875
109.0888671875,160.852783203125,137.063232421875
108.92041015625,160.689697265625,136.880859375
91.87890625,98.8984375,80.66015625
114.42578125,164.37109375,139.8828125
100.46484375,115.69140625,97.03125
96.7890625,103.6171875,86.9609375
91.30078125,126.0390625,113.21484375
111.5625,137.88671875,115.76953125
